,0
528,36
529,35
530,42
531,35
532,35
533,34
534,33
535,47
536,37
537,53
538,78
539,40
540,84
541,64
542,33
543,70
544,73
545,38
546,53
547,68
548,95
549,70
550,40
551,56
552,36
553,36
554,95
555,33
556,38
557,78
558,45
559,37
560,36
561,35
562,34
563,34
564,33
565,34
566,36
567,36
568,36
569,35
570,36
571,37
572,36
573,39
574,38
575,36
576,37
577,36
578,36
579,36
580,37
581,36
582,36
583,34
584,34
585,35
586,35
587,35
588,33
589,45
590,36
591,71
592,114
593,96
594,44
595,70
596,37
597,75
598,83
599,52
600,61
601,37
602,46
603,54
604,45
605,81
606,63
607,35
608,43
609,36
610,37
611,63
612,37
613,35
614,53
615,32
616,33
617,36
618,35
619,36
620,36
621,36
622,36
623,36
624,37
625,44
626,47
627,37
628,36
629,37
630,37
631,37
632,38
633,37
634,35
635,36
636,35
637,35
638,36
639,35
640,34
641,34
642,32
643,53
644,61
645,40
646,33
647,47
648,91
649,72
650,40
651,47
652,41
653,45
654,35
655,46
656,38
657,54
658,107
659,40
660,36
661,38
662,39
663,68
664,41
665,41
666,41
667,37
668,33
669,33
670,36
671,37
672,40
673,37
674,35
675,37
676,38
677,40
678,37
679,37
680,37
681,37
682,37
683,37
684,37
685,39
686,39
687,35
688,38
689,37
690,36
691,34
692,35
693,34
694,32
695,37
696,53
697,67
698,36
699,40
700,47
701,43
702,139
703,96
704,36
705,147
706,41
707,47
708,62
709,48
710,110
711,79
712,86
713,38
714,51
715,39
716,63
717,40
718,42
719,38
720,100
721,48
722,126
723,33
724,34
725,33
726,35
727,37
728,38
729,37
730,52
731,38
732,36
733,38
734,37
735,38
736,38
737,37
738,36
739,36
740,39
741,40
742,41
743,37
744,35
745,36
746,36
747,34
748,33
749,50
750,49
751,82
752,90
753,71
754,52
755,83
756,37
757,123
758,52
759,91
760,39
761,103
762,37
763,36
764,38
765,46
766,79
767,39
768,57
769,132
770,52
771,36
772,106
773,37
774,83
775,39
776,80
777,34
778,34
779,36
780,38
781,38
782,37
783,38
784,37
785,37
786,39
787,37
788,38
789,36
790,37
791,37
792,37
793,37
794,43
795,38
796,37
797,49
798,35
799,35
800,34
801,33
802,169
803,46
804,37
805,45
806,45
807,50
808,54
809,111
810,118
811,170
812,116
813,104
814,140
815,50
816,38
817,65
818,37
819,46
820,48
821,36
822,69
823,47
824,37
825,78
826,95
827,46
828,79
829,37
830,37
831,37
832,40
833,40
834,46
835,36
836,37
837,36
838,36
839,37
840,37
841,37
842,38
843,37
844,38
845,37
846,37
847,36
848,38
849,38
850,37
851,36
852,36
853,35
854,35
855,34
856,34
857,33
858,36
859,44
860,40
861,36
862,90
863,42
864,57
