Img no,sp_id,cent_X,cent_Y,width,height,area,grayavg,eccentricity
1.0,1006.0,314.0,807.0,17.0,17.0,289.0,36.0,0.0
1.0,1007.0,314.0,824.0,17.0,17.0,289.0,37.0,0.0
1.0,1008.0,313.97241379310344,841.0310344827586,17.0,18.0,290.0,35.0,0.14285714285714293
1.0,1009.0,314.4845679012346,858.5617283950618,19.0,20.0,324.0,47.0,0.2735271831966281
1.0,1010.0,317.890243902439,164.78353658536585,25.0,19.0,328.0,45.0,0.6339247895273211
1.0,1011.0,316.9973821989529,208.0890052356021,22.0,24.0,382.0,42.0,0.5726381786429894
1.0,1012.0,317.1144578313253,483.578313253012,21.0,21.0,332.0,45.0,0.33631626556403565
1.0,1013.0,316.1546762589928,878.0539568345324,20.0,22.0,278.0,65.0,0.45007017399477284
1.0,1014.0,319.28808864265926,258.3795013850416,25.0,22.0,361.0,101.0,0.8138582095873591
1.0,1015.0,314.5870967741935,345.69032258064516,19.0,20.0,155.0,71.0,0.82313342028778
1.0,1016.0,317.9280575539568,909.0827338129496,20.0,20.0,278.0,47.0,0.44877882380890544
1.0,1017.0,319.8471760797342,337.4950166112957,22.0,22.0,301.0,54.0,0.7555445447845164
1.0,1018.0,321.15635179153094,6.465798045602606,28.0,17.0,307.0,74.0,0.7309359992795549
1.0,1019.0,324.5625,302.78125,24.0,15.0,224.0,67.0,0.8708365886286078
1.0,1020.0,329.68513853904284,357.44584382871534,31.0,34.0,397.0,155.0,0.5124204880172928
1.0,1021.0,327.85853658536587,376.6048780487805,30.0,20.0,205.0,102.0,0.7554247210935094
1.0,1022.0,329.3167259786477,242.89679715302492,24.0,20.0,281.0,59.0,0.7032937642180711
1.0,1023.0,332.125,319.47727272727275,30.0,18.0,352.0,48.0,0.815227269148396
1.0,1024.0,326.5520504731861,467.22082018927443,19.0,23.0,317.0,54.0,0.5274859966579899
1.0,1025.0,327.67977528089887,39.758426966292134,21.0,20.0,356.0,41.0,0.46015817886777044
1.0,1026.0,330.3876923076923,413.8369230769231,23.0,27.0,325.0,47.0,0.7225572595091693
1.0,1027.0,331.21004566210047,152.31506849315068,25.0,23.0,219.0,80.0,0.47090995151320864
1.0,1028.0,326.1472081218274,397.1218274111675,23.0,21.0,197.0,117.0,0.715278848423213
1.0,1029.0,330.8779840848806,892.1697612732096,24.0,21.0,377.0,61.0,0.5118122804322304
1.0,1030.0,329.7345132743363,24.1858407079646,22.0,16.0,226.0,70.0,0.737095853422079
1.0,1031.0,331.1111111111111,132.73504273504273,21.0,23.0,351.0,40.0,0.6022828036497537
1.0,1032.0,331.6972972972973,192.56216216216217,19.0,17.0,185.0,58.0,0.8001116282369553
1.0,1033.0,332.12109375,281.095703125,24.0,36.0,512.0,70.0,0.661866739607601
1.0,1034.0,330.9306930693069,872.4422442244224,21.0,19.0,303.0,68.0,0.49974958137671205
1.0,1035.0,331.0691823899371,111.9622641509434,18.0,19.0,318.0,37.0,0.44238993269199545
1.0,1036.0,336.37908496732024,160.73856209150327,24.0,16.0,153.0,131.0,0.9291766617125263
1.0,1037.0,331.1021126760563,227.73239436619718,22.0,20.0,284.0,61.0,0.6999047142267637
1.0,1038.0,330.07749077490774,923.6678966789668,18.0,18.0,271.0,39.0,0.3542963456255371
1.0,1039.0,331.07987220447285,58.277955271565496,17.0,20.0,313.0,40.0,0.4291890127212967
1.0,1040.0,331.0,76.0,17.0,17.0,289.0,39.0,0.0
1.0,1041.0,331.0262295081967,93.47213114754098,17.0,18.0,305.0,38.0,0.33093672818212383
1.0,1042.0,330.74,500.62666666666667,17.0,20.0,300.0,36.0,0.45547317500302664
1.0,1043.0,331.0,518.0,17.0,17.0,289.0,38.0,0.0
1.0,1044.0,331.0,535.0,17.0,17.0,289.0,36.0,0.0
1.0,1045.0,331.0,552.0,17.0,17.0,289.0,37.0,0.0
1.0,1046.0,331.0,569.0,17.0,17.0,289.0,37.0,0.0
1.0,1047.0,331.0,586.0,17.0,17.0,289.0,39.0,0.0
1.0,1048.0,331.0,603.0,17.0,17.0,289.0,39.0,0.0
1.0,1049.0,331.0,620.0,17.0,17.0,289.0,39.0,0.0
1.0,1050.0,331.0,637.0,17.0,17.0,289.0,38.0,0.0
1.0,1051.0,331.0,654.0,17.0,17.0,289.0,38.0,0.0
1.0,1052.0,331.0310344827586,670.9724137931034,18.0,17.0,290.0,38.0,0.14285714285714293
1.0,1053.0,331.0,688.0,17.0,17.0,289.0,38.0,0.0
1.0,1054.0,331.0,705.0,17.0,17.0,289.0,38.0,0.0
1.0,1055.0,331.0,722.0,17.0,17.0,289.0,38.0,0.0
1.0,1056.0,331.0,739.0,17.0,17.0,289.0,39.0,0.0
1.0,1057.0,331.0,756.0,17.0,17.0,289.0,36.0,0.0
1.0,1058.0,331.0,773.0,17.0,17.0,289.0,36.0,0.0
1.0,1059.0,331.0,790.0,17.0,17.0,289.0,40.0,0.0
1.0,1060.0,331.0,807.0,17.0,17.0,289.0,36.0,0.0
1.0,1061.0,331.0,824.0,17.0,17.0,289.0,38.0,0.0
1.0,1062.0,330.81617647058823,840.3345588235294,18.0,17.0,272.0,35.0,0.5196507433795313
